hash_function,pattern_length,time_ms,collisions,checks,found,position
simple_hash,1,0.0795,0,1,True,287
first_last_hash,1,0.0737,0,1,True,287
chetsum_hash,1,0.0867,0,1,True,287
rolling_crc32,1,0.2423,0,1,True,287
double_hash,1,0.1114,0,1,True,287
simple_hash,5,0.4538,0,1,True,1000
first_last_hash,5,0.2622,1,2,True,1000
chetsum_hash,5,0.4198,0,1,True,1000
rolling_crc32,5,3.5125,0,1,True,1000
double_hash,5,1.0074,0,1,True,1000
simple_hash,10,0.7008,0,1,True,1000
first_last_hash,10,0.2595,0,1,True,1000
chetsum_hash,10,0.5626,0,1,True,1000
rolling_crc32,10,6.6856,0,1,True,1000
double_hash,10,1.7529,0,1,True,1000
simple_hash,20,1.1464,0,1,True,1000
first_last_hash,20,0.2685,0,1,True,1000
chetsum_hash,20,0.7826,0,1,True,1000
rolling_crc32,20,13.8404,0,1,True,1000
double_hash,20,3.4241,0,1,True,1000
simple_hash,50,2.7705,0,1,True,1000
first_last_hash,50,0.3117,0,1,True,1000
chetsum_hash,50,1.6415,1,2,True,1000
rolling_crc32,50,32.7721,0,1,True,1000
double_hash,50,7.8454,0,1,True,1000
simple_hash,100,4.9766,0,1,True,1000
first_last_hash,100,0.273,0,1,True,1000
chetsum_hash,100,3.1797,3,4,True,1000
rolling_crc32,100,65.5658,0,1,True,1000
double_hash,100,15.9894,0,1,True,1000
simple_hash,150,7.0642,0,1,True,1000
first_last_hash,150,0.2639,0,1,True,1000
chetsum_hash,150,4.2988,0,1,True,1000
rolling_crc32,150,98.6306,0,1,True,1000
double_hash,150,23.5385,0,1,True,1000
simple_hash,200,9.766,1,2,True,1000
first_last_hash,200,0.2637,1,2,True,1000
chetsum_hash,200,5.7064,0,1,True,1000
rolling_crc32,200,131.8388,0,1,True,1000
double_hash,200,31.6003,0,1,True,1000
simple_hash,300,14.3035,0,1,True,1000
first_last_hash,300,0.3234,0,1,True,1000
chetsum_hash,300,8.3467,1,2,True,1000
rolling_crc32,300,196.1708,0,1,True,1000
double_hash,300,47.1306,0,1,True,1000
simple_hash,400,23.5402,0,1,True,1000
first_last_hash,400,0.3216,1,2,True,1000
chetsum_hash,400,12.1931,0,1,True,1000
rolling_crc32,400,264.0352,0,1,True,1000
double_hash,400,64.0456,0,1,True,1000
simple_hash,500,25.4579,0,1,True,1000
first_last_hash,500,0.3073,0,1,True,1000
chetsum_hash,500,14.818,1,2,True,1000
rolling_crc32,500,327.7478,0,1,True,1000
double_hash,500,78.0029,0,1,True,1000
simple_hash,800,38.2166,0,1,True,1000
first_last_hash,800,0.3562,0,1,True,1000
chetsum_hash,800,25.0337,0,1,True,1000
rolling_crc32,800,531.3461,0,1,True,1000
double_hash,800,125.1984,0,1,True,1000
simple_hash,1000,47.741,0,1,True,1000
first_last_hash,1000,0.3761,0,1,True,1000
chetsum_hash,1000,31.9605,0,1,True,1000
rolling_crc32,1000,658.0048,0,1,True,1000
double_hash,1000,155.4442,0,1,True,1000
simple_hash,1500,72.3847,0,1,True,1000
first_last_hash,1500,0.3938,1,2,True,1000
chetsum_hash,1500,47.1631,0,1,True,1000
rolling_crc32,1500,984.5053,0,1,True,1000
double_hash,1500,235.5016,0,1,True,1000
simple_hash,2000,95.9578,0,1,True,1000
first_last_hash,2000,0.3586,0,1,True,1000
chetsum_hash,2000,62.8059,0,1,True,1000
rolling_crc32,2000,1336.6515,0,1,True,1000
double_hash,2000,314.473,0,1,True,1000
simple_hash,2500,121.987,0,1,True,1000
first_last_hash,2500,0.4444,0,1,True,1000
chetsum_hash,2500,85.5459,0,1,True,1000
rolling_crc32,2500,1669.7274,0,1,True,1000
double_hash,2500,397.3552,0,1,True,1000
simple_hash,3000,148.0981,0,1,True,1000
first_last_hash,3000,0.4882,0,1,True,1000
chetsum_hash,3000,97.3322,0,1,True,1000
rolling_crc32,3000,1984.7733,0,1,True,1000
double_hash,3000,475.6293,0,1,True,1000
simple_hash,3500,171.4227,0,1,True,1000
first_last_hash,3500,0.5388,1,2,True,1000
chetsum_hash,3500,111.2729,0,1,True,1000
rolling_crc32,3500,2331.1552,0,1,True,1000
double_hash,3500,549.4092,0,1,True,1000
simple_hash,4000,194.3602,0,1,True,1000
first_last_hash,4000,0.4616,0,1,True,1000
chetsum_hash,4000,126.2834,0,1,True,1000
rolling_crc32,4000,2646.9279,0,1,True,1000
double_hash,4000,627.8812,0,1,True,1000
simple_hash,5000,240.7306,0,1,True,1000
first_last_hash,5000,0.4914,0,1,True,1000
chetsum_hash,5000,164.4049,0,1,True,1000
rolling_crc32,5000,3295.5891,0,1,True,1000
double_hash,5000,779.437,0,1,True,1000
