hash_function,pattern_length,time_ms,collisions,checks,found,position
simple_hash,1,0.007,0,1,True,1
first_last_hash,1,0.0044,0,1,True,1
chetsum_hash,1,0.0037,0,1,True,1
rolling_crc32,1,0.0068,0,1,True,1
double_hash,1,0.0045,0,1,True,1
simple_hash,5,0.3787,4,5,True,1000
first_last_hash,5,0.2399,8,9,True,1000
chetsum_hash,5,0.4113,7,8,True,1000
rolling_crc32,5,3.3573,0,1,True,1000
double_hash,5,0.8755,0,1,True,1000
simple_hash,10,0.667,1,2,True,1000
first_last_hash,10,0.2809,10,11,True,1000
chetsum_hash,10,0.5067,1,2,True,1000
rolling_crc32,10,6.7754,0,1,True,1000
double_hash,10,1.6701,0,1,True,1000
simple_hash,20,1.0741,2,3,True,1000
first_last_hash,20,0.2651,9,10,True,1000
chetsum_hash,20,0.7487,0,1,True,1000
rolling_crc32,20,13.0012,0,1,True,1000
double_hash,20,3.1063,0,1,True,1000
simple_hash,50,2.1143,2,3,True,1000
first_last_hash,50,0.2735,13,14,True,1000
chetsum_hash,50,1.3775,0,1,True,1000
rolling_crc32,50,31.7252,0,1,True,1000
double_hash,50,7.5979,0,1,True,1000
simple_hash,100,4.2975,0,1,True,1000
first_last_hash,100,0.2456,17,18,True,1000
chetsum_hash,100,2.6479,0,1,True,1000
rolling_crc32,100,63.8314,0,1,True,1000
double_hash,100,14.6459,0,1,True,1000
simple_hash,150,6.0157,0,1,True,1000
first_last_hash,150,0.2597,35,36,True,1000
chetsum_hash,150,3.695,0,1,True,1000
rolling_crc32,150,99.8583,0,1,True,1000
double_hash,150,22.0629,0,1,True,1000
simple_hash,200,8.1082,1,2,True,1000
first_last_hash,200,0.2676,0,1,True,1000
chetsum_hash,200,4.861,0,1,True,1000
rolling_crc32,200,129.3932,0,1,True,1000
double_hash,200,28.75,0,1,True,1000
simple_hash,300,12.6623,0,1,True,1000
first_last_hash,300,0.3512,10,11,True,1000
chetsum_hash,300,7.8279,0,1,True,1000
rolling_crc32,300,194.0923,0,1,True,1000
double_hash,300,43.3399,0,1,True,1000
simple_hash,400,16.9554,0,1,True,1000
first_last_hash,400,0.3377,11,12,True,1000
chetsum_hash,400,10.3485,0,1,True,1000
rolling_crc32,400,271.0478,0,1,True,1000
double_hash,400,60.4806,0,1,True,1000
simple_hash,500,22.2735,0,1,True,1000
first_last_hash,500,0.3367,3,4,True,1000
chetsum_hash,500,13.7617,0,1,True,1000
rolling_crc32,500,333.8467,0,1,True,1000
double_hash,500,75.9675,0,1,True,1000
simple_hash,800,34.6012,0,1,True,1000
first_last_hash,800,0.3456,17,18,True,1000
chetsum_hash,800,22.28,0,1,True,1000
rolling_crc32,800,529.9144,0,1,True,1000
double_hash,800,116.4368,0,1,True,1000
simple_hash,1000,42.6549,0,1,True,1000
first_last_hash,1000,0.3457,0,1,True,1000
chetsum_hash,1000,27.4899,0,1,True,1000
rolling_crc32,1000,643.8164,0,1,True,1000
double_hash,1000,147.4303,0,1,True,1000
simple_hash,1500,61.7749,1,2,True,1000
first_last_hash,1500,0.4629,8,9,True,1000
chetsum_hash,1500,40.1318,0,1,True,1000
rolling_crc32,1500,964.9446,0,1,True,1000
double_hash,1500,220.0625,0,1,True,1000
simple_hash,2000,83.1796,0,1,True,1000
first_last_hash,2000,0.3484,3,4,True,1000
chetsum_hash,2000,55.7694,0,1,True,1000
rolling_crc32,2000,1299.6322,0,1,True,1000
double_hash,2000,290.7786,0,1,True,1000
simple_hash,2500,105.6588,0,1,True,1000
first_last_hash,2500,0.4542,5,6,True,1000
chetsum_hash,2500,69.1497,0,1,True,1000
rolling_crc32,2500,1617.107,0,1,True,1000
double_hash,2500,360.6329,0,1,True,1000
simple_hash,3000,125.7898,0,1,True,1000
first_last_hash,3000,0.433,2,3,True,1000
chetsum_hash,3000,82.45,0,1,True,1000
rolling_crc32,3000,1988.6888,0,1,True,1000
double_hash,3000,448.0379,0,1,True,1000
simple_hash,3500,145.7266,0,1,True,1000
first_last_hash,3500,0.428,15,16,True,1000
chetsum_hash,3500,97.4383,0,1,True,1000
rolling_crc32,3500,2257.2618,0,1,True,1000
double_hash,3500,515.2805,0,1,True,1000
simple_hash,4000,166.9296,1,2,True,1000
first_last_hash,4000,0.4795,22,23,True,1000
chetsum_hash,4000,111.4118,0,1,True,1000
rolling_crc32,4000,2581.0964,0,1,True,1000
double_hash,4000,594.6627,0,1,True,1000
simple_hash,4500,190.868,0,1,True,1000
first_last_hash,4500,0.4236,23,24,True,1000
chetsum_hash,4500,126.3297,0,1,True,1000
rolling_crc32,4500,2913.4484,0,1,True,1000
double_hash,4500,660.8604,0,1,True,1000
simple_hash,5000,212.3221,0,1,True,1000
first_last_hash,5000,0.5246,6,7,True,1000
chetsum_hash,5000,141.2185,0,1,True,1000
rolling_crc32,5000,3232.2064,0,1,True,1000
double_hash,5000,733.7944,0,1,True,1000
simple_hash,6000,254.758,1,2,True,1000
first_last_hash,6000,0.452,18,19,True,1000
chetsum_hash,6000,169.593,0,1,True,1000
rolling_crc32,6000,3895.2668,0,1,True,1000
double_hash,6000,882.0175,0,1,True,1000
